uid,target_id,dec,kepid,kepler_name,kepoi_name,koi_bin_oedp_sig,koi_comment,koi_count,koi_datalink_dvr,koi_datalink_dvs,koi_depth,koi_depth_err1,koi_depth_err2,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_msky,koi_dikco_msky_err,koi_disp_prov,koi_disposition,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_fittype,koi_fpflag_co,koi_fpflag_ec,koi_fpflag_nt,koi_fpflag_ss,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_stat_sig,koi_gmag,koi_hmag,koi_imag,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_jmag,koi_kepmag,koi_kmag,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_limbdark_mod,koi_longp,koi_longp_err1,koi_longp_err2,koi_max_mult_ev,koi_max_sngle_ev,koi_model_chisq,koi_model_dof,koi_model_snr,koi_num_transits,koi_parm_prov,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_quarters,koi_rmag,koi_ror,koi_ror_err1,koi_ror_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_score,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_sparprov,koi_srad,koi_srad_err1,koi_srad_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_tce_delivname,koi_tce_plnt_num,koi_teq,koi_teq_err1,koi_teq_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_trans_mod,koi_vet_date,koi_vet_stat,koi_zmag,ra
kplr007375348-02,7375348,42.981422,7375348,,K00266.02,,,2,007/007375/007375348/dv/kplr007375348-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,12.453,10.425,,,,,,,,,,,,,,10.674,11.472,10.379,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,47.7439509,0.0003349,-0.0003349,,,,,11.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454993.159,0.00575,-0.00575,160.15905,0.00575,-0.00575,,2018-08-16,Done,,295.40433
kplr003425851-01,3425851,38.506973,3425851,,K00268.01,,,1,003/003425/003425851/dv/kplr003425851-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,11.102,12.546,,,,,,,,,,,,,,9.948,10.56,9.604,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,110.3783828,0.0002779,-0.0002779,,,,,10.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2455008.932,0.00187,-0.00187,175.9317,0.00187,-0.00187,,2018-08-16,Done,,285.72879
kplr005716763-01,5716763,40.986679,5716763,,K00272.01,,,1,005/005716/005716763/dv/kplr005716763-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,12.506,10.723,11.937,,,,,,,,,,,,,11.071,12.107,10.655,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,1.28132831,2.32e-07,-2.32e-07,,,,,12.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2455002.666,0.000148,-0.000148,169.665953,0.000148,-0.000148,,2018-08-16,Done,11.884,295.10114
kplr005695396-03,5695396,40.942299,5695396,,K00283.03,,,3,005/005695/005695396/dv/kplr005695396-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,11.969,10.127,11.334,,,,,,,,,,,,,10.418,11.525,10.079,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,9.48814747,6.148e-05,-6.148e-05,,,,,11.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454972.179,0.00496,-0.00496,139.17907,0.00496,-0.00496,,2018-08-16,Done,11.309,288.53082
kplr012785320-02,12785320,52.055519,12785320,,K00298.02,,,2,012/012785/012785320/dv/kplr012785320-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.553,10.946,12.355,,,,,,,,,,,,,11.295,12.713,10.885,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,57.3840375,0.0003638,-0.0003638,,,,,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2455003.727,0.0048,-0.0048,170.72723,0.0048,-0.0048,,2018-08-16,Done,,290.49426
kplr006029239-02,6029239,41.373878,6029239,,K00304.02,,,2,006/006029/006029239/dv/kplr006029239-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,12.951,11.192,12.377,,,,,,,,,,,,,11.472,12.549,11.109,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,5.518195,0.006657,-0.006657,,,,,12.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454969.584,0.488,-0.488,136.584,0.488,-0.488,,2018-08-16,Done,12.33,287.08997
kplr008121310-02,8121310,43.998039,8121310,,K00317.02,,,2,008/008121/008121310/dv/kplr008121310-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.199,11.745,12.751,,,,,,,,,,,,,11.915,12.885,11.67,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,11.505879,0.0002263,-0.0002263,,,,,12.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454969.236,0.0173,-0.0173,136.2363,0.0173,-0.0173,,2018-08-16,Done,12.734,298.81638
kplr008684730-01,8684730,44.87294,8684730,,K00319.01,,,1,008/008684/008684730/dv/kplr008684730-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,12.897,10.818,,,,,,,,,,,,,,11.093,12.711,10.753,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,46.15119482,3.026e-05,-3.026e-05,,,,,12.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2455009.626,0.000534,-0.000534,176.626026,0.000534,-0.000534,,2018-08-16,Done,,290.11752
kplr010285631-02,10285631,47.358761,10285631,,K00331.02,,,2,010/010285/010285631/dv/kplr010285631-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,14.012,11.885,13.277,,,,,,,,,,,,,12.248,13.497,11.798,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,10.52286678,6.531e-05,-6.531e-05,,,,,13.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454970.788,0.00485,-0.00485,137.78844,0.00485,-0.00485,,2018-08-16,Done,13.201,296.18344
kplr010290666-02,10290666,47.39629,10290666,,K00332.02,,,2,010/010290/010290666/dv/kplr010290666-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.508,11.569,12.847,,,,,,,,,,,,,11.91,13.046,11.475,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,6.86674226,9.996e-05,-9.996e-05,,,,,12.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454968.354,0.012,-0.012,135.3543,0.012,-0.012,,2018-08-16,Done,12.798,297.65094
